id,usuario,fecha,calificación,texto
1,Usuario_3462,2024-03-07,5,"Aceptables por el precio, nada especial"
2,Usuario_3510,2023-01-20,5,"Calidad premium, increíble inversión"
3,Usuario_9717,2023-12-26,3,"La autonomía dura menos de una hora, desilusión total"
4,Usuario_3985,2023-07-14,5,"Calidad premium, increíble inversión"
5,Usuario_2841,2023-12-15,5,Comodísimos y con un audio cristalino
6,Usuario_4370,2023-06-13,2,"No me quejo, pero tampoco los amo"
7,Usuario_5760,2023-02-21,5,"No son horribles, pero hay mejores opciones"
8,Usuario_7745,2023-12-30,5,Los uso diariamente y son maravillosos!
9,Usuario_3756,2023-01-22,2,"La autonomía dura menos de una hora, desilusión total"
10,Usuario_6106,2023-06-26,3,"Hacen lo que se espera, ni más ni menos"
11,Usuario_3887,2023-02-11,5,Comodísimos y con un audio cristalino
12,Usuario_7169,2023-11-11,3,"No me quejo, pero tampoco los amo"
13,Usuario_3566,2023-03-25,1,"Los uso a veces, son decentes"
14,Usuario_3979,2023-01-11,5,Me arrepiento de esta compra
15,Usuario_2613,2023-05-01,4,"No se conectan correctamente, problemas continuos"
16,Usuario_1554,2024-03-14,3,"Se dañaron en una semana, mala excelencia"
17,Usuario_5468,2024-01-27,3,"No se conectan correctamente, problemas continuos"
18,Usuario_8788,2023-10-29,3,"La mejor compra del año, sin duda"
19,Usuario_2046,2023-03-26,2,"El audio es regular, esperaba más superioridad"
20,Usuario_8066,2023-12-31,4,"Calidad promedio, como muchos otros"
21,Usuario_4003,2023-07-13,5,Me arrepiento de esta compra
22,Usuario_4206,2023-04-17,4,"Calidad promedio, como muchos otros"
23,Usuario_8988,2023-03-18,5,"Muy buenos, los recomiendo a todos"
24,Usuario_4994,2024-03-05,4,"Calidad promedio, como muchos otros"
25,Usuario_9357,2023-07-17,4,"Calidad premium, increíble inversión"
26,Usuario_1216,2023-09-06,2,"Sonido con ruido, no valen la pena"
27,Usuario_9156,2023-07-19,4,"Buenos para el precio, aunque no son perfectos"
28,Usuario_7215,2024-03-03,5,"Se dañaron en una semana, mala excelencia"
29,Usuario_9779,2023-06-09,3,"Muy incómodos, no los recomiendo"
30,Usuario_2598,2023-09-07,5,"No se conectan correctamente, problemas continuos"
31,Usuario_5236,2023-10-19,2,"Los uso a veces, son decentes"
32,Usuario_4936,2024-03-04,4,"No me quejo, pero tampoco los amo"
33,Usuario_5088,2024-02-02,5,"Se dañaron en una semana, mala excelencia"
34,Usuario_3906,2023-01-16,3,"Hacen lo que se espera, ni más ni menos"
35,Usuario_1293,2024-01-16,2,"No se conectan correctamente, problemas continuos"
36,Usuario_9468,2023-02-02,3,"Perfectos para hacer ejercicio, no se caen"
37,Usuario_1040,2023-02-09,4,Funcionan bien pero la pila podría mejorar
38,Usuario_9507,2024-02-28,5,"Los uso a veces, son decentes"
39,Usuario_8390,2023-01-10,1,"Aceptables por el precio, nada especial"
40,Usuario_7671,2024-04-14,5,"No vale el precio, audio horrible"
41,Usuario_8283,2023-05-05,5,"Hacen lo que se espera, ni más ni menos"
42,Usuario_3503,2023-09-22,1,"El audio es regular, esperaba más superioridad"
43,Usuario_7741,2023-09-20,5,"El audio es regular, esperaba más superioridad"
44,Usuario_9943,2024-01-26,4,"Calidad premium, increíble inversión"
45,Usuario_9565,2023-07-05,1,"Hacen lo que se espera, ni más ni menos"
46,Usuario_7128,2023-03-02,5,Los uso diariamente y son maravillosos!
47,Usuario_5611,2023-09-09,5,"Calidad premium, increíble inversión"
48,Usuario_3116,2023-06-01,4,"No se conectan correctamente, problemas continuos"
49,Usuario_7133,2023-11-15,4,"Buenos para el precio, aunque no son perfectos"
50,Usuario_1754,2023-02-23,4,"No compren esto, es una estafa"
51,Usuario_7552,2024-02-11,5,El peor producto que he comprado en años
52,Usuario_6427,2023-01-26,1,"No me quejo, pero tampoco los amo"
53,Usuario_8126,2023-08-23,4,"Pésima excelencia, se desconectan constantemente"
54,Usuario_4357,2023-10-16,4,"Buenos para el precio, aunque no son perfectos"
55,Usuario_4979,2023-07-04,2,"Sonido nítido y gran diseño, fantástico"
56,Usuario_4229,2023-09-10,1,"Los uso a veces, son decentes"
57,Usuario_6602,2024-02-17,5,"Aceptables por el precio, nada especial"
58,Usuario_5575,2023-04-25,5,"Fantástica excelencia acústica, valen cada peso"
59,Usuario_4782,2024-04-02,2,"Sonido nítido y gran diseño, fantástico"
60,Usuario_8830,2023-11-05,4,"No vale el precio, audio horrible"
61,Usuario_6966,2024-03-22,1,"No me quejo, pero tampoco los amo"
62,Usuario_8815,2023-07-24,4,"Aceptables por el precio, nada especial"
63,Usuario_2385,2023-12-29,1,"No son horribles, pero hay mejores opciones"
64,Usuario_5705,2023-09-24,4,"Hacen lo que se espera, ni más ni menos"
65,Usuario_3377,2023-01-25,2,"Fantástica excelencia acústica, valen cada peso"
66,Usuario_5043,2024-05-04,5,Me arrepiento de esta compra
67,Usuario_1685,2023-10-09,5,"Buenos para el precio, aunque no son perfectos"
68,Usuario_7077,2024-03-28,5,"La mejor compra del año, sin duda"
69,Usuario_6026,2024-02-13,5,"No son horribles, pero hay mejores opciones"
70,Usuario_7386,2023-08-03,2,"Hacen lo que se espera, ni más ni menos"
71,Usuario_8280,2023-12-12,5,"Superaron mis expectativas, los amo"
72,Usuario_5714,2024-04-12,3,"La autonomía dura menos de una hora, desilusión total"
73,Usuario_1150,2024-02-12,1,Cumple su función básica sin destacar
74,Usuario_7809,2023-02-26,5,"Pésima excelencia, se desconectan constantemente"
75,Usuario_9173,2023-04-15,5,"Duración de la pila increíble, muy satisfecho"
76,Usuario_7910,2023-12-23,5,"Pésima excelencia, se desconectan constantemente"
77,Usuario_3207,2023-10-06,5,"Buenos para el precio, aunque no son perfectos"
78,Usuario_2028,2023-09-27,5,Funcionan bien pero la pila podría mejorar
79,Usuario_9517,2024-01-01,2,El peor producto que he comprado en años
80,Usuario_8447,2023-05-14,2,"Duración de la pila increíble, muy satisfecho"
81,Usuario_8734,2023-12-13,5,"Aceptables por el precio, nada especial"
82,Usuario_9010,2023-05-09,2,"El audio es regular, esperaba más superioridad"
83,Usuario_2955,2023-08-06,4,"No se conectan correctamente, problemas continuos"
84,Usuario_9171,2023-04-16,4,"No se conectan correctamente, problemas continuos"
85,Usuario_6357,2024-01-04,4,"Duración de la pila increíble, muy satisfecho"
86,Usuario_6883,2024-03-27,3,"Sonido nítido y gran diseño, fantástico"
87,Usuario_5092,2023-12-03,5,"Muy incómodos, no los recomiendo"
88,Usuario_1984,2023-10-12,5,"No me quejo, pero tampoco los amo"
89,Usuario_7182,2024-03-20,3,"Los uso a veces, son decentes"
90,Usuario_1985,2023-01-27,5,"Calidad promedio, como muchos otros"
91,Usuario_5232,2023-01-07,1,"Superaron mis expectativas, los amo"
92,Usuario_2583,2023-09-02,5,"Sonido con ruido, no valen la pena"
93,Usuario_5684,2023-06-03,4,"Fantástica excelencia acústica, valen cada peso"
94,Usuario_8863,2023-02-10,5,Funcionan bien pero la pila podría mejorar
95,Usuario_5775,2023-07-31,5,"Aceptables por el precio, nada especial"
96,Usuario_7643,2024-01-25,2,"Se dañaron en una semana, mala excelencia"
97,Usuario_9912,2023-08-10,5,"No me quejo, pero tampoco los amo"
98,Usuario_9535,2023-06-08,4,"No compren esto, es una estafa"
99,Usuario_8477,2024-05-06,5,"Muy buenos, los recomiendo a todos"
100,Usuario_3506,2023-05-25,4,"No me quejo, pero tampoco los amo"
